# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* JOEDHDHP_00010      K15650  191.17  475.9  2.3e-143 non-haem Fe2+, alpha-ketoglutarate-dependent halogenase
* JOEDHDHP_00012      K05782  173.50  491.2  6.3e-148 benzoate membrane transport protein
* JOEDHDHP_00017      K26731  286.70  343.6  6.1e-103 K+:H+ antiporter
* JOEDHDHP_00021      K26731  286.70  345.7  1.4e-103 K+:H+ antiporter
* JOEDHDHP_00022      K22894  115.87  144.0     2e-42 SARP family transcriptional regulator, regulator of embCAB operon
* JOEDHDHP_00026      K00835  252.17  405.3  7.9e-122 valine--pyruvate aminotransferase [EC:2.6.1.66]
* JOEDHDHP_00028      K15650  191.17  373.1  4.1e-112 non-haem Fe2+, alpha-ketoglutarate-dependent halogenase
* JOEDHDHP_00030      K01649  453.87  559.2    5e-168 2-isopropylmalate synthase [EC:2.3.3.13]
* JOEDHDHP_00033      K01703  471.07  651.5  3.5e-196 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
* JOEDHDHP_00034      K01704  121.20  236.8   9.3e-71 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
* JOEDHDHP_00045      K07729   61.33   66.3   9.5e-19 putative transcriptional regulator
* JOEDHDHP_00050      K27360  121.93  138.7   5.2e-41 phospholipase A/thioesterase [EC:3.1.1.-]
* JOEDHDHP_00065      K00560  105.87  161.3   1.2e-47 thymidylate synthase [EC:2.1.1.45]
* JOEDHDHP_00073      K01563  235.97  244.1     9e-73 haloalkane dehalogenase [EC:3.8.1.5]
* JOEDHDHP_00080      K26249   50.07  144.0   7.9e-43 nucleoid-associated protein Lsr2
* JOEDHDHP_00089      K03496  128.87  207.1   1.7e-61 chromosome partitioning protein
* JOEDHDHP_00093      K14059  162.60  220.1   1.8e-65 integrase
* JOEDHDHP_00096      K05375   29.57  134.0   1.5e-39 MbtH protein
* JOEDHDHP_00108      K13633  257.20  403.7  2.4e-121 AraC family transcriptional regulator, transcriptional activator FtrA
* JOEDHDHP_00109      K00355  115.30  310.1   7.7e-93 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
* JOEDHDHP_00115      K00697  515.70  711.8  2.2e-214 trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
* JOEDHDHP_00116      K06949   86.93  291.4   3.6e-87 ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
* JOEDHDHP_00118      K08166  430.57  460.7  1.3e-138 MFS transporter, DHA2 family, methylenomycin A resistance protein
* JOEDHDHP_00121      K13640   95.47  191.5   2.9e-57 MerR family transcriptional regulator, heat shock protein HspR
* JOEDHDHP_00122      K03686  402.23  441.0  2.4e-132 molecular chaperone DnaJ
* JOEDHDHP_00123      K03687   28.13  151.4   9.6e-45 molecular chaperone GrpE
* JOEDHDHP_00124      K04043  798.93  935.4  9.4e-282 molecular chaperone DnaK
* JOEDHDHP_00140      K08264  308.37  347.0  3.7e-104 heterodisulfide reductase subunit D [EC:1.8.98.1]
* JOEDHDHP_00146      K14260  468.47  747.4  1.9e-225 alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
* JOEDHDHP_00148      K00259  277.73  578.2  2.7e-174 alanine dehydrogenase [EC:1.4.1.1]
* JOEDHDHP_00149      K03719  132.87  143.8   2.2e-42 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* JOEDHDHP_00160      K22844  181.87  187.2   1.4e-55 glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]
* JOEDHDHP_00164      K22844  181.87  389.2  5.8e-117 glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]
* JOEDHDHP_00165      K01192  383.83  396.9  5.5e-119 beta-mannosidase [EC:3.2.1.25]
* JOEDHDHP_00167      K18353  117.20  146.2   4.7e-43 vancomycin resistance protein VanJ
* JOEDHDHP_00169      K25307  128.40  147.1   2.2e-43 low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]
* JOEDHDHP_00172      K04757   54.27   86.8     6e-25 serine/threonine-protein kinase RsbW [EC:2.7.11.1]
* JOEDHDHP_00173      K04749   68.00   88.5   1.6e-25 anti-sigma B factor antagonist
* JOEDHDHP_00174      K06199   24.23   48.8   1.5e-13 fluoride exporter
* JOEDHDHP_00183      K15983  355.97  430.0  1.6e-129 3-ketosteroid 9alpha-monooxygenase subunit B [EC:1.14.15.30]
* JOEDHDHP_00186      K10215  416.27  753.0  8.6e-227 monooxygenase [EC:1.14.13.-]
* JOEDHDHP_00189      K18851  171.87  396.2  4.2e-119 diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85 [EC:2.3.1.20 2.3.1.122 2.3.1.-]
* JOEDHDHP_00190      K03885  201.50  418.3  1.3e-125 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
* JOEDHDHP_00191      K08995   40.57   55.9   1.7e-15 putative membrane protein
* JOEDHDHP_00197      K07682  184.90  713.5    8e-215 two-component system, NarL family, sensor histidine kinase DevS [EC:2.7.13.3]
* JOEDHDHP_00198      K07695  247.90  380.3  1.8e-114 two-component system, NarL family, response regulator DevR
* JOEDHDHP_00201      K07090   36.87  156.5     3e-46 uncharacterized protein
* JOEDHDHP_00213      K00496  194.50  691.7  2.4e-208 alkane 1-monooxygenase [EC:1.14.15.3]
* JOEDHDHP_00216      K00529  394.37  423.4  4.9e-127 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
* JOEDHDHP_00218      K04098  359.60  449.2  1.9e-135 hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]
* JOEDHDHP_00219      K00217  313.00  523.7  1.6e-157 maleylacetate reductase [EC:1.3.1.32]
* JOEDHDHP_00220      K10676  513.53  869.5  4.6e-262 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]
* JOEDHDHP_00223      K18288  574.27  680.7    2e-205 itaconate CoA-transferase [EC:2.8.3.-]
* JOEDHDHP_00224      K18290  167.77  282.0   3.4e-85 itaconyl-CoA hydratase [EC:4.2.1.56]
* JOEDHDHP_00229      K04095   36.47  109.4   6.4e-32 cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]
* JOEDHDHP_00230      K01992   20.23   20.4   6.2e-05 ABC-2 type transport system permease protein
* JOEDHDHP_00231      K01990  272.97  347.6  4.4e-104 ABC-2 type transport system ATP-binding protein
* JOEDHDHP_00231      K13464   33.13   55.7   9.7e-16 jasmonate ZIM domain-containing protein
* JOEDHDHP_00236      K01358   72.30  202.7   3.3e-60 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* JOEDHDHP_00237      K01358   72.30  256.5   1.6e-76 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* JOEDHDHP_00247      K07071  119.37  325.1   3.8e-97 uncharacterized protein
* JOEDHDHP_00253      K06199   24.23  107.8   1.7e-31 fluoride exporter
* JOEDHDHP_00254      K06199   24.23   83.3   4.9e-24 fluoride exporter
* JOEDHDHP_00260      K15269  142.97  376.6  3.3e-113 probable blue pigment (indigoidine) exporter
* JOEDHDHP_00261      K13671  299.03  340.8  3.5e-102 alpha-1,2-mannosyltransferase [EC:2.4.1.-]
* JOEDHDHP_00268      K08369  361.93  372.5  9.5e-112 MFS transporter, putative metabolite:H+ symporter
* JOEDHDHP_00274      K07156  105.53  178.2   9.1e-53 copper resistance protein C
* JOEDHDHP_00278      K28280   46.90   80.2   4.7e-23 antitoxin VapB22
* JOEDHDHP_00279      K28279   62.10  137.6   9.5e-41 ribonuclease VapC22 [EC:3.1.-.-]
* JOEDHDHP_00292      K03116   57.00   59.3   1.3e-16 sec-independent protein translocase protein TatA
* JOEDHDHP_00293      K03118   73.40  250.9   5.6e-75 sec-independent protein translocase protein TatC
* JOEDHDHP_00298      K14956   27.17   33.0   1.5e-08 ESAT-6 family protein
* JOEDHDHP_00307      K25588  376.57  632.3  1.6e-190 tyrosine-protein kinase [EC:2.7.10.3]
* JOEDHDHP_00307      K00903  256.23  264.2   6.8e-79 protein-tyrosine kinase [EC:2.7.10.3]
* JOEDHDHP_00310      K03818  148.03  236.3   1.1e-70 putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]
* JOEDHDHP_00311      K00640   94.53  106.2   7.6e-31 serine O-acetyltransferase [EC:2.3.1.30]
